Rivet ID,Analysis Name,Experiment Name,Inspire HEP Link,Inspire HEP ID
ATLAS_2013_I1217867,kT splitting scales in W->lv events,ATLAS (LHC),https://inspirehep.net/literature/1217867,1217867
ATLAS_2013_I1219109,W + b production at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1219109,1219109
ATLAS_2013_I1230812,$Z$ + jets in $pp$ at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1230812,1230812
ATLAS_2013_I1234228,High-mass Drell-Yan at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1234228,1234228
ATLAS_2013_I1243871,Measurement of jet shapes in top quark pair events at $\sqrt{s} = 7$ TeV with ATLAS,ATLAS (LHC),https://inspirehep.net/literature/1243871,1243871
ATLAS_2013_I1244522,Photon + jets,ATLAS (LHC),https://inspirehep.net/literature/1244522,1244522
ATLAS_2013_I1263495,Inclusive isolated prompt photon analysis with 2011 LHC data,ATLAS (LHC 7TeV),https://inspirehep.net/literature/1263495,1263495
ATLAS_2014_I1268975,High-mass dijet cross section,ATLAS (LHC),https://inspirehep.net/literature/1268975,1268975
ATLAS_2014_I1279489,"Measurements of electroweak production of dijets + $Z$ boson, and distributions sensitive to vector boson fusion",ATLAS (LHC),https://inspirehep.net/literature/1279489,1279489
ATLAS_2014_I1282441,The differential production cross section of the $\phi(1020)$ meson in $\sqrt{s}=7$ TeV $pp$ collisions measured with the ATLAS detector,ATLAS (LHC),https://inspirehep.net/literature/1282441,1282441
ATLAS_2014_I1282447,W + charm production at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1282447,1282447
ATLAS_2014_I1288706,Measurement of the low-mass Drell-Yan differential cross section at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1288706,1288706
ATLAS_2014_I1298023,Same-sign WW cross section,ATLAS (LHC),https://inspirehep.net/literature/1298023,1298023
ATLAS_2014_I1298811,Leading jet underlying event at 7 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/1298811,1298811
ATLAS_2014_I1300647,Measurement of $Z/\gamma^*$ boson $p_T$ at $\sqrt{s} = 7\text{TeV}$,ATLAS (LHC),https://inspirehep.net/literature/1300647,1300647
ATLAS_2014_I1304688,Measurement of jet multiplicity and transverse momentum spectra in top events using full 7 TeV ATLAS dataset,ATLAS (LHC),https://inspirehep.net/literature/1304688,1304688
ATLAS_2014_I1306294,Measurement of Z boson in association with b-jets at 7 TeV in ATLAS (electron channel),ATLAS (LHC),https://inspirehep.net/literature/1306294,1306294
ATLAS_2014_I1306615,Higgs diphoton events at 8 TeV in ATLAS,ATLAS (LHC),https://inspirehep.net/literature/1306615,1306615
ATLAS_2014_I1307243,Measurements of jet vetoes and azimuthal decorrelations in dijet events produced in pp collisions at $\sqrt{s}$ = 7 TeV using the ATLAS detector,ATLAS (LHC),https://inspirehep.net/literature/1307243,1307243
ATLAS_2014_I1307756,Search for scalar diphoton resonances in ATLAS at sqrt(s) = 8 TeV,ATLAS (LHC 8 TeV),https://inspirehep.net/literature/1307756,1307756
ATLAS_2014_I1310835,H(125) -> 4l at 8 TeV,ATLAS (LHC),https://inspirehep.net/literature/1310835,1310835
ATLAS_2014_I1312627,Ratios of $V$+jets observables between $W$ and $Z$ events,ATLAS (LHC),https://inspirehep.net/literature/1312627,1312627
ATLAS_2014_I1315949,Distributions sensitive to the underlying event in inclusive Z-boson production at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1315949,1315949
ATLAS_2014_I1319490,W + jets,ATLAS (LHC),https://inspirehep.net/literature/1319490,1319490
ATLAS_2014_I1325553,Measurement of the inclusive jet cross-section at 7 TeV,ATLAS (LHC),https://inspirehep.net/literature/1325553,1325553
ATLAS_2014_I1326641,3-jet cross section with 7 TeV data,ATLAS (LHC),https://inspirehep.net/literature/1326641,1326641
ATLAS_2014_I1327229,Inclusive multilepton search at 8 TeV,ATLAS (LHC),https://inspirehep.net/literature/1327229,1327229
ATLAS_2015_CONF_2015_041,$Z$+jets at 13 TeV,ATLAS (LHC),N/A,
ATLAS_2015_CONF_2015_041_EL,$Z$+jets at 13 TeV,ATLAS (LHC),N/A,
ATLAS_2015_CONF_2015_041_MU,$Z$+jets at 13 TeV,ATLAS (LHC),N/A,
ATLAS_2015_I1345452,Pseudo-top-antitop cross sections,ATLAS (LHC),https://inspirehep.net/literature/1345452,1345452
ATLAS_2015_I1351916,$Z$ forward-backward asymmetry,ATLAS (LHC),https://inspirehep.net/literature/1351916,1351916
ATLAS_2015_I1351916_EL,$Z$ forward-backward asymmetry,ATLAS (LHC),https://inspirehep.net/literature/1351916,1351916
ATLAS_2015_I1351916_MU,$Z$ forward-backward asymmetry,ATLAS (LHC),https://inspirehep.net/literature/1351916,1351916
